Domain,Domain Rating,Source Type,Number of Responses,Pages,Platforms
"""savingninelives.com""",30,"""Third party""",23,2,"""Perplexity, ChatGPT"""
"""promisepetinsurance.com""",0,"""Third party""",23,4,"""ChatGPT"""
"""insuranceoncheap.com""",1,"""Third party""",23,1,"""ChatGPT"""
"""vety.com""",25,"""Third party""",22,1,"""ChatGPT"""
"""spotpetinsurance.ca""",37,"""Third party""",22,8,"""Perplexity, ChatGPT"""
"""dollargeek.com""",45,"""Third party""",22,7,"""Google AI Overviews, Google AI Mode, ChatGPT"""
"""thepennyhoarder.com""",78,"""Third party""",20,1,"""Google AI Overviews, Google AI Mode, Gemini, ChatGPT"""
"""petscare.com""",26,"""Third party""",20,3,"""Google AI Overviews, ChatGPT"""
"""metlifepetinsurance.com""",68,"""Competitor""",20,4,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, ChatGPT"""
"""quote.com""",65,"""Third party""",19,1,"""Google AI Overviews, Google AI Mode, Perplexity"""
"""puppysimply.com""",18,"""Third party""",19,4,"""Microsoft Copilot, ChatGPT"""
"""hepper.com""",73,"""Third party""",18,12,"""Microsoft Copilot, ChatGPT"""
"""prnewswire.com""",92,"""Third party""",18,3,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT"""
"""consumersadvocate.org""",75,"""Third party""",17,7,"""Microsoft Copilot, ChatGPT"""
"""lemonade.com""",78,"""Competitor""",17,9,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, ChatGPT"""
"""investopedia.com""",92,"""Third party""",17,7,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, Perplexity, Gemini, ChatGPT"""
"""cats.com""",70,"""Third party""",16,1,"""Microsoft Copilot, Gemini, ChatGPT"""
"""petinsuranceforcat.com""",0,"""Third party""",16,3,"""ChatGPT"""
"""moneyfactscompare.co.uk""",71,"""Third party""",15,1,"""Perplexity"""
"""aspcapetinsurance.com""",75,"""Competitor""",15,4,"""Google AI Overviews, Google AI Mode, Perplexity, Gemini, ChatGPT"""
"""dogadvisorycouncil.com""",36,"""Third party""",14,3,"""Microsoft Copilot, ChatGPT"""
"""safepet365.com""",0,"""Third party""",14,1,"""ChatGPT"""
"""greatpetcare.com""",70,"""Third party""",13,2,"""Perplexity, ChatGPT"""
"""honestpolicy.com""",23,"""Third party""",13,2,"""Perplexity, ChatGPT"""
"""pawplanusa.com""",0,"""Third party""",12,2,"""ChatGPT"""
"""holistapet.com""",68,"""Third party""",12,2,"""Google AI Overviews, Google AI Mode, Perplexity, Gemini, ChatGPT"""
"""shrm.org""",90,"""Third party""",12,2,"""Microsoft Copilot, Google AI Mode, Gemini, ChatGPT"""
"""topconsumerreviews.com""",54,"""Third party""",12,7,"""Microsoft Copilot, ChatGPT"""
"""petinsurancequotes.com""",53,"""Third party""",12,7,"""Microsoft Copilot, Google AI Mode, ChatGPT"""
"""tractive.com""",75,"""Third party""",11,2,"""Google AI Overviews, Perplexity, ChatGPT"""
"""assuredpolicy.com""",0,"""Third party""",11,1,"""Microsoft Copilot, ChatGPT"""
"""sfgate.com""",90,"""Third party""",10,4,"""Google AI Overviews, Google AI Mode, Perplexity, ChatGPT"""
"""ctpost.com""",78,"""Third party""",10,1,"""Google AI Overviews, Google AI Mode, ChatGPT"""
"""akcpetinsurance.com""",66,"""Third party""",10,3,"""Google AI Overviews, ChatGPT"""
"""shelteredpaw.com""",0,"""Third party""",10,3,"""Microsoft Copilot, ChatGPT"""
"""financebuzz.com""",75,"""Third party""",10,3,"""Perplexity, ChatGPT"""
"""timesunion.com""",83,"""Third party""",9,1,"""ChatGPT"""
"""equineathon.com""",0,"""Third party""",9,4,"""ChatGPT"""
"""petplanhero.com""",0,"""Third party""",9,1,"""Microsoft Copilot, ChatGPT"""
"""petted.com""",40,"""Third party""",9,9,"""Google AI Overviews, Google AI Mode, Perplexity, Gemini, ChatGPT"""
"""beinsure.com""",73,"""Third party""",9,1,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, ChatGPT"""
"""diggitydog.blog""",0,"""Third party""",9,1,"""ChatGPT"""
"""petful.com""",71,"""Third party""",9,2,"""Google AI Overviews, Microsoft Copilot, Google AI Mode, ChatGPT"""
"""bringfido.com""",78,"""Third party""",9,3,"""Google AI Overviews, Google AI Mode, Perplexity, ChatGPT"""
"""momwithaprep.com""",40,"""Third party""",9,2,"""ChatGPT"""
"""myinsurancebrowser.com""",1,"""Third party""",9,1,"""ChatGPT"""
"""roamly.com""",44,"""Third party""",9,2,"""Microsoft Copilot, Perplexity, ChatGPT"""
"""usatoday.com""",92,"""Third party""",8,2,"""Microsoft Copilot, Perplexity"""
"""simplyinsurance.com""",63,"""Third party""",8,3,"""Perplexity, ChatGPT"""
"""peoplekeep.com""",74,"""Third party""",8,2,"""Perplexity, ChatGPT"""
"""b8cdn.com""",63,"""Third party""",8,1,"""Google AI Overviews, Google AI Mode"""
"""trustedcompanyreviews.com""",23,"""Third party""",8,1,"""ChatGPT"""
"""greatist.com""",83,"""Third party""",7,1,"""Google AI Overviews, Google AI Mode"""
"""thevetdesk.com""",44,"""Third party""",7,5,"""Microsoft Copilot, ChatGPT"""
"""usainsuretoday.com""",0,"""Third party""",7,1,"""ChatGPT"""
"""ashlandplatter.com""",0,"""Third party""",7,1,"""ChatGPT"""
"""finder.com.au""",79,"""Third party""",7,1,"""Perplexity"""
"""apple.com""",97,"""Third party""",7,5,"""Google AI Overviews, Google AI Mode, Perplexity, ChatGPT"""
"""comparethemarket.com.au""",71,"""Third party""",7,2,"""Google AI Overviews, Perplexity, ChatGPT"""
"""pethealthcareonline.com""",14,"""Third party""",7,6,"""Microsoft Copilot, Perplexity, ChatGPT"""
"""rollpet.com""",15,"""Third party""",7,1,"""ChatGPT"""
"""onepackplan.com""",20,"""Third party""",7,1,"""Google AI Overviews, Gemini, ChatGPT"""
"""gobankingrates.com""",82,"""Third party""",7,1,"""ChatGPT"""
"""trupanion.com""",87,"""Competitor""",6,2,"""Google AI Overviews, Google AI Mode, Gemini, ChatGPT"""
"""dvm360.com""",77,"""Third party""",6,1,"""Google AI Overviews, Google AI Mode, Perplexity, ChatGPT"""
"""bestpetinsurancecompanies.com""",1,"""Third party""",6,3,"""ChatGPT"""
"""bestreviews.com""",73,"""Third party""",6,1,"""ChatGPT"""
"""theswiftest.com""",60,"""Third party""",6,2,"""Microsoft Copilot, Google AI Mode"""
"""toppetinsuranceplans.com""",0,"""Third party""",6,1,"""ChatGPT"""
"""hrdailyadvisor.com""",76,"""Third party""",6,2,"""Google AI Overviews, Microsoft Copilot, Perplexity, Gemini"""
"""hrdive.com""",82,"""Third party""",6,1,"""Perplexity, ChatGPT"""
"""kinship.com""",73,"""Third party""",6,2,"""Google AI Overviews, Google AI Mode, ChatGPT"""
"""mybaseguide.com""",60,"""Third party""",6,1,"""Google AI Overviews, Google AI Mode, Perplexity"""
"""dogsvets.com""",52,"""Third party""",5,1,"""ChatGPT"""
"""passportunlimited.com""",38,"""Third party""",5,1,"""Google AI Overviews, Google AI Mode, ChatGPT"""
"""askavet.com""",19,"""Third party""",5,2,"""Google AI Mode, Perplexity, ChatGPT"""
"""petinsurance.com""",77,"""Third party""",5,1,"""Google AI Overviews, Google AI Mode, Gemini, ChatGPT"""
"""benefitsandpensionsmonitor.com""",55,"""Third party""",5,1,"""ChatGPT"""
"""propertynest.com""",37,"""Third party""",5,4,"""ChatGPT"""
"""dutch.com""",61,"""Third party""",5,1,"""Perplexity, ChatGPT"""
"""sacbee.com""",85,"""Third party""",5,1,"""Google AI Mode"""
"""joywallet.com""",72,"""Third party""",5,3,"""Perplexity, ChatGPT"""
"""bbbpet.com""",0,"""Third party""",5,1,"""ChatGPT"""
"""trustpilot.com""",94,"""Third party""",5,5,"""Google AI Mode, ChatGPT"""
"""aol.com""",91,"""Third party""",4,3,"""Google AI Mode, ChatGPT"""
"""trustedpolicies.com""",0,"""Third party""",4,3,"""ChatGPT"""
"""safewise.com""",79,"""Third party""",4,1,"""ChatGPT"""
"""bizfocushub.com""",1,"""Third party""",4,1,"""ChatGPT"""
"""redentklinik.com""",11,"""Third party""",4,1,"""ChatGPT"""
"""cgaa.org""",41,"""Third party""",4,3,"""ChatGPT"""
"""nasdaq.com""",90,"""Third party""",4,2,"""ChatGPT"""
"""goquays.com""",0,"""Third party""",4,1,"""ChatGPT"""
"""insurancebusinessmag.com""",82,"""Third party""",4,1,"""Microsoft Copilot, Gemini, ChatGPT"""
"""directbenefits.com""",36,"""Third party""",4,1,"""Google AI Overviews"""
"""investingsimple.com""",38,"""Third party""",4,1,"""ChatGPT"""
"""pawplan.org""",1,"""Third party""",4,1,"""ChatGPT"""
"""sitmeanssit.com""",60,"""Third party""",4,1,"""Google AI Overviews, Google AI Mode"""
"""wellnesspethealth.com""",0,"""Third party""",4,1,"""Perplexity, ChatGPT"""
"""aaa.com""",88,"""Third party""",4,2,"""Google AI Overviews, Google AI Mode, ChatGPT"""
"""groupon.com""",86,"""Third party""",4,3,"""Google AI Overviews, Google AI Mode, Gemini, ChatGPT"""
"""consumerrating.org""",28,"""Third party""",3,1,"""ChatGPT"""
"""countrycreekvets.com""",10,"""Third party""",3,1,"""Google AI Overviews, Google AI Mode"""
"""akrsk.com""",0,"""Third party""",3,1,"""ChatGPT"""
"""lifespace.co""",13,"""Third party""",3,1,"""ChatGPT"""
"""todaysveterinarybusiness.com""",68,"""Third party""",3,1,"""Google AI Mode, ChatGPT"""
"""linkedin.com""",99,"""Third party""",3,2,"""Google AI Mode"""
"""dogsforgood.org""",62,"""Third party""",3,1,"""Google AI Overviews, Google AI Mode"""
"""kimola.com""",39,"""Third party""",3,1,"""Google AI Overviews, Google AI Mode"""
"""petinsurancepremiums.com""",6,"""Third party""",3,2,"""ChatGPT"""
"""simplycodes.com""",50,"""Third party""",3,3,"""Microsoft Copilot, Perplexity, ChatGPT"""
"""insurancemakers.com""",1,"""Third party""",3,1,"""ChatGPT"""
"""simonvetsurgical.com""",27,"""Third party""",3,1,"""Microsoft Copilot, Gemini, ChatGPT"""
"""whole-dog-journal.com""",75,"""Third party""",3,2,"""Perplexity, ChatGPT"""
"""goodkaws.com""",4,"""Third party""",3,1,"""ChatGPT"""
"""qualifylearner.com""",0,"""Third party""",3,2,"""ChatGPT"""
"""tequestaveterinaryclinic.com""",2,"""Third party""",3,1,"""Google AI Mode, ChatGPT"""
"""koa.com""",79,"""Third party""",3,1,"""Google AI Overviews, Google AI Mode"""
"""figopetinsurance.com""",72,"""Competitor""",3,2,"""Google AI Mode, Perplexity, ChatGPT"""
"""birdieinsurance.com""",12,"""Third party""",3,1,"""Microsoft Copilot, ChatGPT"""
"""hellosafe.com""",32,"""Third party""",3,2,"""Perplexity, ChatGPT"""
"""consumeradvocateservices.org""",0,"""Third party""",3,3,"""ChatGPT"""
"""petinsuranceaustralia.com.au""",50,"""Third party""",3,3,"""Perplexity"""
"""animalhumanesociety.org""",75,"""Third party""",3,1,"""Microsoft Copilot, Google AI Mode"""
"""petsradar.com""",61,"""Third party""",3,1,"""ChatGPT"""
"""petcareadvisorusa.com""",0,"""Third party""",3,1,"""ChatGPT"""
"""petpartners.com""",55,"""Third party""",2,1,"""ChatGPT"""
"""embracepet.com""",0,"""Third party""",2,3,"""ChatGPT"""
"""petinsuranceguideus.com""",22,"""Third party""",2,2,"""Google AI Mode, ChatGPT"""
"""dogster.com""",78,"""Third party""",2,2,"""ChatGPT"""
"""pawzsure.com""",0,"""Third party""",2,1,"""ChatGPT"""
"""dogvills.com""",45,"""Third party""",2,1,"""Perplexity"""
"""petcoverage.ai""",1,"""Third party""",2,2,"""ChatGPT"""
"""workdaybenefits.com""",28,"""Third party""",2,1,"""Google AI Overviews, Google AI Mode"""
"""woofz.com""",44,"""Third party""",2,1,"""Google AI Overviews"""
"""walletbrain.com""",7,"""Third party""",2,2,"""ChatGPT"""
"""cantonvets.com""",7,"""Third party""",2,1,"""Perplexity, ChatGPT"""
"""google.com""",98,"""Third party""",2,2,"""Google AI Mode"""
"""petcoverageguide.com""",0,"""Third party""",2,1,"""ChatGPT"""
"""petcube.com""",71,"""Third party""",2,2,"""Microsoft Copilot, ChatGPT"""
"""umbrex.com""",57,"""Third party""",2,1,"""Google AI Mode, Gemini"""
"""iheartdogs.com""",74,"""Third party""",2,1,"""Perplexity"""
"""aslvets.co.uk""",2,"""Third party""",2,1,"""ChatGPT"""
"""twinpinesvet.com""",2,"""Third party""",2,1,"""ChatGPT"""
"""instametta.com""",0,"""Third party""",2,1,"""ChatGPT"""
"""insuranceguidances.com""",6,"""Third party""",2,1,"""ChatGPT"""
"""gigapaw.com""",0,"""Third party""",2,1,"""ChatGPT"""
"""insuranceranked.com""",36,"""Third party""",2,1,"""Perplexity"""
"""insurdinary.com""",7,"""Third party""",2,1,"""ChatGPT"""
"""insure-yourpet.com""",0,"""Third party""",2,1,"""ChatGPT"""
"""trainingmag.com""",79,"""Third party""",2,1,"""Google AI Overviews, Google AI Mode"""
"""bowwowinsurance.com.au""",54,"""Third party""",2,1,"""Google AI Overviews, Perplexity"""
"""topdogtips.com""",69,"""Third party""",2,2,"""Microsoft Copilot, Perplexity"""
"""jacksonbackhome.com""",30,"""Third party""",2,1,"""Perplexity, ChatGPT"""
"""banfield.com""",74,"""Third party""",2,2,"""Google AI Mode"""
"""getpetsavvy.com""",6,"""Third party""",2,1,"""ChatGPT"""
"""thepetvet.com""",34,"""Third party""",2,2,"""Microsoft Copilot"""
"""jppadmin.com""",27,"""Third party""",2,1,"""ChatGPT"""
"""kainervet.com""",25,"""Third party""",2,1,"""Microsoft Copilot, ChatGPT"""
"""pethealthpros.com""",8,"""Third party""",2,2,"""Perplexity"""
"""fullinsuranceguide.com""",0,"""Third party""",2,1,"""Perplexity"""
"""tailswithnicole.com""",33,"""Third party""",2,1,"""Google AI Mode, ChatGPT"""
"""leadersedge.com""",57,"""Third party""",2,1,"""ChatGPT"""
"""supertails.com""",57,"""Third party""",2,1,"""Microsoft Copilot, ChatGPT"""
"""lendapi.com""",34,"""Third party""",2,1,"""Google AI Overviews, Google AI Mode"""
"""lifestylemanagment.com""",19,"""Third party""",2,1,"""ChatGPT"""
"""foolinvestor.com""",0,"""Third party""",2,1,"""ChatGPT"""
"""lovepetplace.com""",0,"""Third party""",2,2,"""ChatGPT"""
"""loveyourcat.com""",22,"""Third party""",2,1,"""Microsoft Copilot, ChatGPT"""
"""fnetstats.info""",0,"""Third party""",2,1,"""ChatGPT"""
"""sendinfokit.org""",18,"""Third party""",2,1,"""ChatGPT"""
"""mit.edu""",92,"""Third party""",2,1,"""Google AI Overviews, Gemini"""
"""findpetinsurance.com""",0,"""Third party""",2,2,"""Microsoft Copilot"""
"""mspca.org""",73,"""Third party""",2,1,"""Google AI Mode, Perplexity"""
"""petguide.com""",72,"""Third party""",2,2,"""ChatGPT"""
"""mycalchoice.com""",20,"""Third party""",2,2,"""Google AI Mode, ChatGPT"""
"""myfirewards.com""",6,"""Third party""",2,1,"""Google AI Overviews, ChatGPT"""
"""allwork.space""",74,"""Third party""",2,1,"""Google AI Mode, Perplexity"""
"""dataintelo.com""",73,"""Third party""",2,1,"""ChatGPT"""
"""policyidea.com""",0,"""Third party""",2,1,"""ChatGPT"""
"""bestpetplanguide.com""",0,"""Third party""",2,1,"""ChatGPT"""
"""nextdoor.com""",90,"""Third party""",2,1,"""Google AI Mode"""
"""nwaustinveterinarycenter.com""",19,"""Third party""",2,1,"""Gemini"""
"""fangwallet.com""",72,"""Third party""",2,2,"""ChatGPT"""
"""petscreening.com""",79,"""Third party""",2,2,"""Google AI Mode, ChatGPT"""
"""onlinehealthzone.com""",0,"""Third party""",2,1,"""ChatGPT"""
"""zoomiespetinsurance.com""",0,"""Third party""",1,1,"""ChatGPT"""
"""acvhweb.com""",18,"""Third party""",1,1,"""ChatGPT"""
"""altaspalmas.com""",13,"""Third party""",1,1,"""Google AI Overviews"""
"""animalwellnessmagazine.com""",71,"""Third party""",1,1,"""Perplexity"""
"""a-z-animals.com""",75,"""Third party""",1,1,"""Microsoft Copilot"""
"""barnesgroupbenefits.com""",17,"""Third party""",1,1,"""Google AI Mode"""
"""benefitnews.com""",79,"""Third party""",1,1,"""Google AI Overviews"""
"""benefitpitch.com""",17,"""Third party""",1,1,"""Google AI Mode"""
"""bestlifeonline.com""",79,"""Third party""",1,1,"""Perplexity"""
"""bloghong.com""",40,"""Third party""",1,1,"""ChatGPT"""
"""blue365deals.com""",59,"""Third party""",1,1,"""ChatGPT"""
"""calchoice.com""",42,"""Third party""",1,1,"""ChatGPT"""
"""campuscybercafe.com""",18,"""Third party""",1,1,"""ChatGPT"""
"""cdc.gov""",93,"""Third party""",1,1,"""Gemini"""
"""centralparkpaws.net""",39,"""Third party""",1,1,"""ChatGPT"""
"""centralvalleyanimalhospital.com""",14,"""Third party""",1,1,"""Perplexity"""
"""cherrycreekvet.com""",12,"""Third party""",1,1,"""Google AI Mode"""
"""claremontcompanies.com""",29,"""Third party""",1,1,"""ChatGPT"""
"""coinlaw.io""",61,"""Third party""",1,1,"""ChatGPT"""
"""colespaws.com""",0,"""Third party""",1,1,"""ChatGPT"""
"""colostate.edu""",88,"""Third party""",1,1,"""Google AI Mode"""
"""consumersbest.org""",33,"""Third party""",1,1,"""Microsoft Copilot"""
"""coverageclever.com""",0,"""Third party""",1,1,"""ChatGPT"""
"""coverinsight.com""",0,"""Third party""",1,1,"""ChatGPT"""
"""ctfassets.net""",90,"""Third party""",1,1,"""Google AI Overviews"""
"""dealspotr.com""",73,"""Third party""",1,1,"""Microsoft Copilot"""
"""dhgate.com""",82,"""Third party""",1,1,"""Google AI Overviews"""
"""dig-in.com""",72,"""Third party""",1,1,"""Google AI Overviews"""
"""doggy-training.net""",0,"""Third party""",1,1,"""ChatGPT"""
"""dontpayfull.com""",75,"""Third party""",1,1,"""ChatGPT"""
"""economictimes.com""",81,"""Third party""",1,1,"""Google AI Overviews"""
"""facebook.com""",100,"""Third party""",1,1,"""Google AI Overviews"""
"""farmstandapp.com""",42,"""Third party""",1,1,"""ChatGPT"""
"""felinefriendsnc.com""",7,"""Third party""",1,1,"""ChatGPT"""
"""financemateclub.com""",0,"""Third party""",1,1,"""ChatGPT"""
"""financialfocushub.com""",3,"""Third party""",1,1,"""ChatGPT"""
"""genricpet.co.za""",6,"""Third party""",1,1,"""ChatGPT"""
"""getmarlee.com""",72,"""Third party""",1,1,"""Google AI Overviews"""
"""getsetup.io""",59,"""Third party""",1,1,"""ChatGPT"""
"""goodrx.com""",84,"""Third party""",1,1,"""ChatGPT"""
"""grdane.com""",7,"""Third party""",1,1,"""ChatGPT"""
"""greenmatters.com""",76,"""Third party""",1,1,"""Google AI Mode"""
"""happytailservet.com""",31,"""Third party""",1,1,"""Google AI Mode"""
"""harmonyroadvet.com""",6,"""Third party""",1,1,"""Perplexity"""
"""healthyactivepet.com""",18,"""Third party""",1,1,"""Perplexity"""
"""homebody.com""",51,"""Third party""",1,1,"""Google AI Mode"""
"""hubspotusercontent-na1.net""",90,"""Third party""",1,1,"""ChatGPT"""
"""hudsonanimalhospitalnyc.com""",27,"""Third party""",1,1,"""Perplexity"""
"""hydranthotel.com""",10,"""Third party""",1,1,"""ChatGPT"""
"""indeed.com""",92,"""Third party""",1,1,"""Google AI Overviews"""
"""indiatimes.com""",92,"""Third party""",1,1,"""ChatGPT"""
"""infinitypups.com""",27,"""Third party""",1,1,"""ChatGPT"""
"""insurancenewsnet.com""",76,"""Third party""",1,1,"""ChatGPT"""
"""insurefuturenow.com""",0,"""Third party""",1,1,"""ChatGPT"""
"""insurilo.com""",0,"""Third party""",1,1,"""ChatGPT"""
"""ironpointinsurance.com""",27,"""Third party""",1,1,"""ChatGPT"""
"""jetpetresort.com""",40,"""Third party""",1,1,"""Perplexity"""
"""jiangdiadia.com""",0,"""Third party""",1,1,"""ChatGPT"""
"""joinforma.com""",48,"""Third party""",1,1,"""ChatGPT"""
"""knoji.com""",73,"""Third party""",1,1,"""Perplexity"""
"""lancasterpuppies.com""",45,"""Third party""",1,1,"""ChatGPT"""
"""lcc.edu""",67,"""Third party""",1,1,"""Google AI Mode"""
"""lemon8-app.com""",77,"""Third party""",1,1,"""Google AI Mode"""
"""linkmypet.com""",40,"""Third party""",1,1,"""Google AI Mode"""
"""livingtricky.com""",38,"""Third party""",1,1,"""Microsoft Copilot"""
"""mercerconsumer.com""",31,"""Third party""",1,1,"""Google AI Mode"""
"""milled.com""",73,"""Third party""",1,2,"""ChatGPT"""
"""modernretail.co""",79,"""Third party""",1,1,"""ChatGPT"""
"""moneyunder30.com""",77,"""Third party""",1,1,"""ChatGPT"""
"""myinsuranceplanet.com""",0,"""Third party""",1,1,"""Microsoft Copilot"""
"""mymillennialguide.com""",55,"""Third party""",1,1,"""ChatGPT"""
"""myshortlister.com""",71,"""Third party""",1,1,"""Google AI Overviews"""
"""mythtether.com""",0,"""Third party""",1,1,"""ChatGPT"""
"""nahf.org""",36,"""Third party""",1,1,"""ChatGPT"""
"""natlawreview.com""",85,"""Third party""",1,1,"""Google AI Overviews"""
"""nohoartsdistrict.com""",66,"""Third party""",1,1,"""Google AI Overviews"""
"""nokillcolorado.org""",28,"""Third party""",1,1,"""ChatGPT"""
"""ocshelterpets.com""",3,"""Third party""",1,1,"""ChatGPT"""
"""openkoda.com""",32,"""Third party""",1,1,"""Google AI Mode"""
